전용면적(㎡),건축년도,건축면적,연면적,주차대수,전체동수,주거전용면적
133.46,1984,61064.24,63304,419,5,53437.05
104.43,1984,61064.24,63304,419,5,53437.05
104.43,1984,61064.24,63304,419,5,53437.05
104.43,1984,61064.24,63304,419,5,53437.05
133.46,1984,61064.24,63304,419,5,53437.05
161,1984,61064.24,63304,419,5,53437.05
104.43,1984,61064.24,63304,419,5,53437.05
161,1984,61064.24,63304,419,5,53437.05
104.43,1984,61064.24,63304,419,5,53437.05
160.33,2004,0,70291,0,4,35547.31
157.41,2004,0,70291,0,4,35547.31
157.41,2004,0,70291,0,4,35547.31
213.98,2004,0,70291,0,4,35547.31
157.41,2004,0,70291,0,4,35547.31
36.29,2004,0,21244,200,1,9435.4
36.29,2004,0,21244,200,1,9435.4
36.29,2004,0,21244,200,1,9435.4
36.29,2004,0,21244,200,1,9435.4
36.29,2004,0,21244,200,1,9435.4
36.29,2004,0,21244,200,1,9435.4
36.29,2004,0,21244,200,1,9435.4
36.29,2004,0,21244,200,1,9435.4
84.208,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
84.208,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
84.208,2014,3587,74812,645,4,33279.96
113.087,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
113.231,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
84.208,2014,3587,74812,645,4,33279.96
84.074,2014,3587,74812,645,4,33279.96
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
108.52,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
84.58,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
84.58,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
84.58,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
108.52,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
108.52,2000,8414.21,142507,1238,14,83135.34
84.58,2000,8414.21,142507,1238,14,83135.34
84.58,2000,8414.21,142507,1238,14,83135.34
84.58,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
84.58,2000,8414.21,142507,1238,14,83135.34
59.88,2000,8414.21,142507,1238,14,83135.34
109.04,2000,8414.21,142507,1238,14,83135.34
108.52,2000,8414.21,142507,1238,14,83135.34
97.35,2000,8414.21,142507,1238,14,83135.34
84.93,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
84.98,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
84.93,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
119.58,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
84.98,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
84.95,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
149.78,2008,5218.09,147442,1171,11,78559.1
59.96,2008,5218.09,147442,1171,11,78559.1
114.97,2008,5218.09,147442,1171,11,78559.1
84.93,2008,5218.09,147442,1171,11,78559.1
